Date,Model,FLOP,Joules/FLOP,Data (tokens),GPU,Energy (Joules),US energy price (cents/kwh),Total energy spend ($),Talent Hours,Num Authors,MMLU,HellaSwag,HumanEval,,Historical
2018,GPT,1.75781E+19,2.24E-11,1.00E+09,"1 month on 8 GPUs, NVIDIA Quadro P600 https://technical.city/en/video/Quadro-P600",3.93E+08,10.53,1.15E+01,,4,,,,Not found,Historical
2019,GPT-2,4.30E+21,2.40E-12,8.00E+09,Guess: V100,1.03E+10,10.54,3.02E+02,,6,32.4,,,Not found,Historical
2020,GPT-3,3.14E+23,2.40E-12,3.74E+11,NVIDIA V100,7.54E+11,10.59,2.22E+04,,31,59.5,,,Not found,Historical
2022,GPT-3.5,2.58E+24,4.76E-13,5.00E+12,Guess: A100,1.23E+12,12.36,4.21E+04,,,0.7,0.855,0.481,Not found,Historical
2023,GPT-4,2.10E+25,4.76E-13,4.90E+12,"90 days on 25,000 Nvidia A100 GPUs",1.00E+13,12.72,3.53E+05,,279,0.864,0.953,0.67,Not found,Historical
2024,,2.00201E+27,1.20E-13,1.68E+14,,2.40E+14,13.14465116,8.77E+06,,,,,,,
2025,,6.23301E+28,4.73E-14,1.75E+15,,2.95E+15,13.83802055,1.13E+08,,,,,,,
2026,,1.94057E+30,1.86E-14,1.82E+16,,3.61E+16,14.52431307,1.46E+09,,,,,,,
2027,,6.0417E+31,7.33E-15,1.90E+17,,4.43E+17,14.95139096,1.84E+10,,,,,,,
2028,,1.88101E+33,2.89E-15,1.98E+18,,5.43E+18,15.5884083,2.35E+11,,,,,,,
2029,,5.85627E+34,1.14E-15,2.06E+19,,6.66E+19,16.20962222,3.00E+12,,,,,,,
2030,,1.82327E+36,4.48E-16,2.15E+20,,8.17E+20,16.76454059,3.80E+13,,,,,,,
2031,,5.67652E+37,1.76E-16,2.24E+21,,1.00E+22,17.32926091,4.82E+14,,,,,,,
2032,,1.76731E+39,6.95E-17,2.33E+22,,1.23E+23,17.94820625,6.12E+15,,,,,,,
2033,,5.5023E+40,2.74E-17,2.42E+23,,1.51E+24,18.51977803,7.75E+16,,,,,,,
2034,,1.71307E+42,1.08E-17,2.52E+24,,1.85E+25,19.09547479,9.79E+17,,,,,,,
2035,,5.33342E+43,4.24E-18,2.63E+25,,2.26E+26,19.68716777,1.24E+19,,,,,,,
2036,,1.66049E+45,1.67E-18,2.74E+26,,2.78E+27,20.27490223,1.56E+20,,,,,,,
2037,,5.16972E+46,6.58E-19,2.85E+27,,3.40E+28,20.85134033,1.97E+21,,,,,,,
2038,,1.60953E+48,2.59E-19,2.97E+28,,4.17E+29,21.43849824,2.49E+22,,,,,,,
2039,,5.01105E+49,1.02E-19,3.09E+29,,5.12E+30,22.02454251,3.13E+23,,,,,,,
2040,,1.56013E+51,4.02E-20,3.22E+30,,6.28E+31,22.60679386,3.94E+24,,,,,,,
2041,,4.85725E+52,1.58E-20,3.35E+31,,7.70E+32,23.19031106,4.96E+25,,,,,,,
2042,,1.51224E+54,6.24E-21,3.49E+32,,9.44E+33,23.77616832,6.23E+26,,,,,,,
2043,,4.70817E+55,2.46E-21,3.64E+33,,1.16E+35,24.35959541,7.83E+27,,,,,,,
2044,,1.46583E+57,9.68E-22,3.79E+34,,1.42E+36,24.94332632,9.83E+28,,,,,,,
2045,,4.56366E+58,3.81E-22,3.95E+35,,1.74E+37,25.52794378,1.23E+30,,,,,,,
2046,,1.42084E+60,1.50E-22,4.11E+36,,2.13E+38,26.11219601,1.55E+31,,,,,,,
,,4.42359E+61,0,4.28E+37,,,,0.00E+00,,,,,,,
,,1.37723E+63,0,4.46E+38,,,,0.00E+00,,,,,,,
,,4.28782E+64,0,4.64E+39,,,,0.00E+00,,,,,,,
,,1.33496E+66,0,4.83E+40,,,,0.00E+00,,,,,,,
,,4.15622E+67,0,5.03E+41,,,,,,,,,,,
,,1.29398E+69,0,5.24E+42,,,,,,,,,,,
,,4.02865E+70,0,5.46E+43,,,,,,,,,,,
,,1.25427E+72,0,5.68E+44,,,,,,,,,,,
,,3.90501E+73,0,5.92E+45,,,,,,,,,,,
,,1.21577E+75,0,6.17E+46,,,,,,,,,,,
,,3.78515E+76,0,6.42E+47,,,,,,,,,,,
,,1.17846E+78,0,6.69E+48,,,,,,,,,,,
,,3.66898E+79,0,6.96E+49,,,,,,,,,,,
,,1.14229E+81,0,7.25E+50,,,,,,,,,,,
,,3.55637E+82,0,7.55E+51,,,,,,,,,,,
,,1.10723E+84,0,7.87E+52,,,,,,,,,,,
,,3.44721E+85,0,8.19E+53,,,,,,,,,,,
,,1.07324E+87,0,8.53E+54,,,,,,,,,,,
,,3.34141E+88,0,8.88E+55,,,,,,,,,,,
